"Date","Week day","ON","1W","1M","2M","3M","6M","12M"
"05.01.2024","Fri","","","","","5.32300","",""
"04.01.2024","Thu","","","","","5.32260","",""
"03.01.2024","Wed","","","","","5.32210","",""
"02.01.2024","Tue","","","","","5.32330","",""
"29.12.2023","Fri","","","","","5.32460","",""
"28.12.2023","Thu","","","","","5.32570","",""
"27.12.2023","Wed","","","","","5.32240","",""
"22.12.2023","Fri","","","","","5.33210","",""
"21.12.2023","Thu","","","","","5.33530","",""
"20.12.2023","Wed","","","","","5.33310","",""
"19.12.2023","Tue","","","","","5.34260","",""
"18.12.2023","Mon","","","","","5.34210","",""
"15.12.2023","Fri","","","","","5.34010","",""
"14.12.2023","Thu","","","","","5.33090","",""
"13.12.2023","Wed","","","","","5.34030","",""
"12.12.2023","Tue","","","","","5.34570","",""
"11.12.2023","Mon","","","","","5.34660","",""
"08.12.2023","Fri","","","","","5.34690","",""
"07.12.2023","Thu","","","","","5.34430","",""
"06.12.2023","Wed","","","","","5.35010","",""
"05.12.2023","Tue","","","","","5.34650","",""
"04.12.2023","Mon","","","","","5.34880","",""
"01.12.2023","Fri","","","","","5.34900","",""
"30.11.2023","Thu","","","","","5.35130","",""
"29.11.2023","Wed","","","","","5.35470","",""
"28.11.2023","Tue","","","","","5.35820","",""
"27.11.2023","Mon","","","","","5.35920","",""
"24.11.2023","Fri","","","","","5.36460","",""
"23.11.2023","Thu","","","","","5.36180","",""
"22.11.2023","Wed","","","","","5.35400","",""
"21.11.2023","Tue","","","","","5.35080","",""
"20.11.2023","Mon","","","","","5.34770","",""
"17.11.2023","Fri","","","","","5.34510","",""
"16.11.2023","Thu","","","","","5.34770","",""
"15.11.2023","Wed","","","","","5.34860","",""
"14.11.2023","Tue","","","","","5.36130","",""
"13.11.2023","Mon","","","","","5.36130","",""
"10.11.2023","Fri","","","","","5.35900","",""
"09.11.2023","Thu","","","","","5.36210","",""
"08.11.2023","Wed","","","","","5.35590","",""
"07.11.2023","Tue","","","","","5.35610","",""
"06.11.2023","Mon","","","","","5.36490","",""
"03.11.2023","Fri","","","","","5.37180","",""
"02.11.2023","Thu","","","","","5.37390","",""
"01.11.2023","Wed","","","","","5.37820","",""
"31.10.2023","Tue","","","","","5.37240","",""
"30.10.2023","Mon","","","","","5.37040","",""
"27.10.2023","Fri","","","","","5.37480","",""
"26.10.2023","Thu","","","","","5.37900","",""
"25.10.2023","Wed","","","","","5.38250","",""
"24.10.2023","Tue","","","","","5.38350","",""
"23.10.2023","Mon","","","","","5.39350","",""
"20.10.2023","Fri","","","","","5.39510","",""
"19.10.2023","Thu","","","","","5.41050","",""
"18.10.2023","Wed","","","","","5.41330","",""
"17.10.2023","Tue","","","","","5.40340","",""
"16.10.2023","Mon","","","","","5.41970","",""
"13.10.2023","Fri","","","","","5.40710","",""
"12.10.2023","Thu","","","","","5.40450","",""
"11.10.2023","Wed","","","","","5.40400","",""
"10.10.2023","Tue","","","","","5.40880","",""
"09.10.2023","Mon","","","","","5.40920","",""
"06.10.2023","Fri","","","","","5.41190","",""
"05.10.2023","Thu","","","","","5.41670","",""
"04.10.2023","Wed","","","","","5.41580","",""
"03.10.2023","Tue","","","","","5.41080","",""
"02.10.2023","Mon","","","","","5.41390","",""
"29.09.2023","Fri","","","","","5.40910","",""
"28.09.2023","Thu","","","","","5.41680","",""
"27.09.2023","Wed","","","","","5.40270","",""
"26.09.2023","Tue","","","","","5.39660","",""
"25.09.2023","Mon","","","","","5.39250","",""
"22.09.2023","Fri","","","","","5.38620","",""
"21.09.2023","Thu","","","","","5.50250","",""
"20.09.2023","Wed","","","","","5.50010","",""
"19.09.2023","Tue","","","","","5.59430","",""
"18.09.2023","Mon","","","","","5.58590","",""
"15.09.2023","Fri","","","","","5.58100","",""
"14.09.2023","Thu","","","","","5.56420","",""
"13.09.2023","Wed","","","","","5.57610","",""
"12.09.2023","Tue","","","","","5.57110","",""
"11.09.2023","Mon","","","","","5.57620","",""
"08.09.2023","Fri","","","","","5.56450","",""
"07.09.2023","Thu","","","","","5.55810","",""
"06.09.2023","Wed","","","","","5.57810","",""
"05.09.2023","Tue","","","","","5.57370","",""
"04.09.2023","Mon","","","","","5.57880","",""
"01.09.2023","Fri","","","","","5.56320","",""
"31.08.2023","Thu","","","","","5.57840","",""
"30.08.2023","Wed","","","","","5.59790","",""
"29.08.2023","Tue","","","","","5.59500","",""
"25.08.2023","Fri","","","","","5.58490","",""
"24.08.2023","Thu","","","","","5.57060","",""
"23.08.2023","Wed","","","","","5.57000","",""
"22.08.2023","Tue","","","","","5.59180","",""
"21.08.2023","Mon","","","","","5.58500","",""
"18.08.2023","Fri","","","","","5.57850","",""
"17.08.2023","Thu","","","","","5.56180","",""
"16.08.2023","Wed","","","","","5.55070","",""
"15.08.2023","Tue","","","","","5.53370","",""
"14.08.2023","Mon","","","","","5.48130","",""
"11.08.2023","Fri","","","","","5.47090","",""
"10.08.2023","Thu","","","","","5.45490","",""
"09.08.2023","Wed","","","","","5.45430","",""
"08.08.2023","Tue","","","","","5.44840","",""
"07.08.2023","Mon","","","","","5.45080","",""
"04.08.2023","Fri","","","","","5.45050","",""
"03.08.2023","Thu","","","","","5.51510","",""
"02.08.2023","Wed","","","","","5.51510","",""
"01.08.2023","Tue","","","","","5.52140","",""
"31.07.2023","Mon","","","","","5.52110","",""
"28.07.2023","Fri","","","","","5.49890","",""
"27.07.2023","Thu","","","","","5.50040","",""
"26.07.2023","Wed","","","","","5.50430","",""
"25.07.2023","Tue","","","","","5.50550","",""
"24.07.2023","Mon","","","","","5.48320","",""
"21.07.2023","Fri","","","","","5.49660","",""
"20.07.2023","Thu","","","","","5.47500","",""
"19.07.2023","Wed","","","","","5.47210","",""
"18.07.2023","Tue","","","","","5.53130","",""
"17.07.2023","Mon","","","","","5.54020","",""
"14.07.2023","Fri","","","","","5.51960","",""
"13.07.2023","Thu","","","","","5.49800","",""
"12.07.2023","Wed","","","","","5.50160","",""
"11.07.2023","Tue","","","","","5.49530","",""
"10.07.2023","Mon","","","","","5.49550","",""
"07.07.2023","Fri","","","","","5.48710","",""
"06.07.2023","Thu","","","","","5.46090","",""
"05.07.2023","Wed","","","","","5.43500","",""
"04.07.2023","Tue","","","","","5.42980","",""
"03.07.2023","Mon","","","","","5.42540","",""
"30.06.2023","Fri","","","","","5.39010","",""
"29.06.2023","Thu","","","","","5.38380","",""
"28.06.2023","Wed","","","","","5.37670","",""
"27.06.2023","Tue","","","","","5.36240","",""
"26.06.2023","Mon","","","","","5.35090","",""
"23.06.2023","Fri","","","","","5.33700","",""
"22.06.2023","Thu","","","","","5.13770","",""
"21.06.2023","Wed","","","","","5.11260","",""
"20.06.2023","Tue","","","","","5.05580","",""
"19.06.2023","Mon","","","","","5.03110","",""
"16.06.2023","Fri","","","","","4.99540","",""
"15.06.2023","Thu","","","","","5.00490","",""
"14.06.2023","Wed","","","","","4.98670","",""
"13.06.2023","Tue","","","","","5.01490","",""
"12.06.2023","Mon","","","","","4.96060","",""
"09.06.2023","Fri","","","","","4.93250","",""
"08.06.2023","Thu","","","","","4.92310","",""
"07.06.2023","Wed","","","","","4.92340","",""
"06.06.2023","Tue","","","","","4.91600","",""
"05.06.2023","Mon","","","","","4.91130","",""
"02.06.2023","Fri","","","","","4.89270","",""
"01.06.2023","Thu","","","","","4.87810","",""
"31.05.2023","Wed","","","","","4.88370","",""
"30.05.2023","Tue","","","","","4.89590","",""
"26.05.2023","Fri","","","","","4.89250","",""
"25.05.2023","Thu","","","","","4.87140","",""
"24.05.2023","Wed","","","","","4.84140","",""
"23.05.2023","Tue","","","","","4.75170","",""
"22.05.2023","Mon","","","","","4.73220","",""
"19.05.2023","Fri","","","","","4.72660","",""
"18.05.2023","Thu","","","","","4.70810","",""
"17.05.2023","Wed","","","","","4.69610","",""
"16.05.2023","Tue","","","","","4.69130","",""
"15.05.2023","Mon","","","","","4.70190","",""
"12.05.2023","Fri","","","","","4.68770","",""
"11.05.2023","Thu","","","","","4.68100","",""
"10.05.2023","Wed","","","","","4.67550","",""
"09.05.2023","Tue","","","","","4.66570","",""
"05.05.2023","Fri","","","","","4.63360","",""
"04.05.2023","Thu","","","","","4.63370","",""
"03.05.2023","Wed","","","","","4.62320","",""
"02.05.2023","Tue","","","","","4.64380","",""
"28.04.2023","Fri","","","","","4.61990","",""
"27.04.2023","Thu","","","","","4.60860","",""
"26.04.2023","Wed","","","","","4.59190","",""
"25.04.2023","Tue","","","","","4.60310","",""
"24.04.2023","Mon","","","","","4.59900","",""
"21.04.2023","Fri","","","","","4.58650","",""
"20.04.2023","Thu","","","","","4.59020","",""
"19.04.2023","Wed","","","","","4.60160","",""
"18.04.2023","Tue","","","","","4.53130","",""
"17.04.2023","Mon","","","","","4.49900","",""
"14.04.2023","Fri","","","","","4.49090","",""
"13.04.2023","Thu","","","","","4.48350","",""
"12.04.2023","Wed","","","","","4.48040","",""
"11.04.2023","Tue","","","","","4.46630","",""
"06.04.2023","Thu","","","","","4.43780","",""
"05.04.2023","Wed","","","","","4.43930","",""
"04.04.2023","Tue","","","","","4.43430","",""
"03.04.2023","Mon","","","","","4.43020","",""
"31.03.2023","Fri","","","4.20130","","4.41800","4.74470",""
